tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
screwdriver_cyl,119,89.5,0,866,0.1182,1.5873,0.1182,179.88,179.88
screwdriver_cyl,120,90.0,0,866,0.1732,1.6018,0.1732,179.83,179.83
screwdriver_cyl,121,90.5,0,866,0.0789,46.5932,0.0789,0.08,179.92
screwdriver_cyl,122,91.0,0,866,0.1449,80.3538,0.1449,0.14,179.86
screwdriver_cyl,123,91.5,0,866,0.0581,74.3551,0.0581,0.06,179.94
screwdriver_cyl,124,92.0,0,866,0.0906,55.38,0.0906,0.09,179.91
screwdriver_cyl,125,92.5,0,866,0.0792,41.143,0.0792,0.08,179.92
screwdriver_cyl,126,93.0,0,866,0.1033,30.4604,0.1033,0.1,179.9
screwdriver_cyl,127,93.5,0,866,0.0533,22.4606,0.0533,0.05,179.95
screwdriver_cyl,128,94.0,0,866,0.0401,16.4706,0.0401,0.04,179.96
screwdriver_cyl,129,94.5,0,866,0.0816,11.9558,0.0816,0.08,179.92
screwdriver_cyl,130,95.0,1,915,0.0888,8.6183,0.0888,179.91,0.09
screwdriver_cyl,131,95.5,1,915,0.1674,6.1401,0.1674,179.83,0.17
screwdriver_cyl,132,96.0,1,915,0.2182,4.2993,0.2182,179.78,0.22
screwdriver_cyl,133,96.5,1,915,0.1501,2.9014,0.1501,179.85,0.15
screwdriver_cyl,134,97.0,1,915,0.2209,1.9002,0.2209,179.78,0.22
screwdriver_cyl,135,97.5,1,915,0.1737,1.1376,0.1737,179.83,0.17
screwdriver_cyl,136,98.0,1,915,0.191,0.5676,0.191,179.81,0.19
